Check #,Check Name,QA Status,Execution Status,Reason,Recommended Correction,Routing,Finding Count,Method,Coverage
1,Book Name,Unverified,Completed,Language detection unavailable (langdetect not installed). Cannot confirm English.,,,0,language-detection + character-set validation,metadata/content-title only
2,Citation,Pass,Completed,"Citation contains the accepted fallback value: ""Document Title as Citation"".",,,0,metadata-inspection,Citation field
3,Issuance Type,Fail,Completed,IssuanceType is blank.,"Set IssuanceType to an approved value. Suggested: 'Resolution'. If no type fits, the accepted fallback is 'Notice'.",Data Management,1,metadata-inspection + title-analysis,IssuanceType field + content-title
4,Source URL — Presence and Validity,Unverified,Completed,URL is present but retrieval failed: Retrieval error: Session.request() got an unexpected keyword argument 'max_redirects'. See check 5.,,,0,url-structural-analysis + http-retrieval,"url-link, requested-url, requested-urlname"
5,Source URL — Broken vs. Blocked,Unverified,Completed,Retrieval failed: Retrieval error: Session.request() got an unexpected keyword argument 'max_redirects' (HTTP no status). Cause is unresolved.,Verify the URL from a different network or obtain a working source.,Research,1,http-retrieval,single retrieval attempt from current network
6,TOC / Structure,Unverified,Completed,XML has 3 section(s). Cannot compare against source — source document not available.,,,0,xml-internal-inspection,All 3 section(s)
7,Content Fidelity,Unverified,Completed,Source content extraction incomplete. Cannot approve comparison.,,,0,failed,none
8,Translation Sanity,Unverified,Completed,Translation document not provided. Cannot assess translation sanity.,,,1,none,none
9,Styling Exclusion,Informational,Completed,"Styling differences (bold, italic, capitalization, bullets, layout) are excluded from QA by policy and do not constitute failures.",,,0,policy-application,all
10,Placeholder Metadata,Fail,Completed,2 placeholder metadata value(s) found.,Replace DEFAULT/placeholder values with real taxonomy-mapped values. Do not invent replacement IDs — use the approved taxonomy lookup.,Data Management,2,metadata-inspection,"country-of-issue, issuing-body"
11,Issuance Date,Fail,Completed,Issuance date issue: IssueDateStatus='Date Replaced By Capture Date'. Stored date: 2026-09-24. Capture date: 2026-09-24.,Replace the date with the actual issuance date from the source document. Never automatically substitute the effective date or capture date.,Research,1,metadata-inspection + source-date-extraction,"issue-date, IssueDateStatus, capture-date"
12,Final Sweep,Pass,Completed,Final sweep complete — no errors or warnings found.,,,0,structural-inspection + source-comparison,"images, footnotes, tables, duplication"
